Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
79,37.73070876906839,1.2374357557135025,4.7247547036333755,1243,3117,226,4586,0,68,158,0.04928041866550371,0.6796772786742259
80,37.69461086241772,1.2366463727852837,4.721740696089264,1232,3117,237,4586,0,48,189,0.05167902311382468,0.6796772786742259
81,37.723529563901145,1.2372787821286306,4.724155349945681,1250,3117,219,4586,0,47,172,0.047754034016572175,0.6796772786742259
82,37.69103975762563,1.2365682667745492,4.721442473139186,1236,3117,233,4586,0,43,190,0.05080680331443524,0.6796772786742259
83,37.72352956390115,1.237278782128631,4.724155349945681,1250,3117,219,4586,0,39,180,0.047754034016572175,0.6796772786742259
84,37.69103975762567,1.2365682667745492,4.721442473139186,1236,3117,233,4586,0,40,193,0.05080680331443524,0.6796772786742259
85,37.72352956390116,1.2372787821286306,4.724155349945683,1250,3117,219,4586,0,44,175,0.047754034016572175,0.6796772786742259
86,37.69103975762565,1.2365682667745492,4.721442473139188,1236,3117,233,4586,0,50,183,0.05080680331443524,0.6796772786742259
87,37.72352956390114,1.2372787821286308,4.724155349945681,1250,3117,219,4586,0,53,166,0.047754034016572175,0.6796772786742259
88,37.691039757625674,1.2365682667745492,4.721442473139188,1236,3117,233,4586,0,41,192,0.05080680331443524,0.6796772786742259
89,37.72352956390114,1.2372787821286315,4.724155349945681,1250,3117,219,4586,0,47,172,0.047754034016572175,0.6796772786742259
90,37.69103975762564,1.2365682667745495,4.721442473139188,1236,3117,233,4586,0,48,185,0.05080680331443524,0.6796772786742259
91,37.72352956390115,1.237278782128631,4.724155349945681,1250,3117,219,4586,0,42,177,0.047754034016572175,0.6796772786742259
92,37.69103975762565,1.2365682667745488,4.721442473139186,1236,3117,233,4586,0,44,189,0.05080680331443524,0.6796772786742259
93,37.72352956390116,1.2372787821286308,4.724155349945683,1250,3117,219,4586,0,50,169,0.047754034016572175,0.6796772786742259
94,37.69103975762565,1.2365682667745488,4.721442473139188,1236,3117,233,4586,0,40,193,0.05080680331443524,0.6796772786742259
